what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.ui",1487333363811
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.workbench",1487333363811
started,bundle,org.eclipse.mylyn.context.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.core",1487333363811
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.tasks.ui",1487333363826
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.monitor.ui",1487333363842
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.ui",1487333363857
started,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1487333363889
started,bundle,org.eclipse.team.svn.core,4.0.3.I20161129-1700,"org.eclipse.team.svn.core",1487333363920
started,bundle,org.eclipse.team.svn.mylyn,4.0.0.I20160226-1700,"org.eclipse.team.svn.mylyn",1487333363920
started,bundle,org.eclipse.team.svn.ui.startup,4.0.0.I20160226-1700,"org.eclipse.team.svn.ui.startup",1487333363936
os,sysinfo,,,"win32",1487333363936
arch,sysinfo,,,"x86_64",1487333363936
ws,sysinfo,,,"win32",1487333363936
locale,sysinfo,,,"en_US",1487333363936
processors,sysinfo,,,"2",1487333363936
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1487333363936
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1487333363936
java.specification.name,sysinfo,,,"Java Platform API Specification",1487333363936
java.specification.vendor,sysinfo,,,"Oracle Corporation",1487333363936
java.specification.version,sysinfo,,,"1.7",1487333363936
java.vendor,sysinfo,,,"Oracle Corporation",1487333363936
java.version,sysinfo,,,"1.7.0_13",1487333363936
java.vm.info,sysinfo,,,"mixed mode",1487333363936
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1487333363936
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1487333363936
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1487333363936
java.vm.specification.version,sysinfo,,,"1.7",1487333363936
java.vm.vendor,sysinfo,,,"Oracle Corporation",1487333363936
java.vm.version,sysinfo,,,"23.7-b01",1487333363936
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1487333370342
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1487333370342
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1487333370357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487333379248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487333414232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1487333414248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487333416529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487333419529
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487333419607
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1487333419967
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1487333419982
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1487333420186
